date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2023-10-10,175.35,175.95,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='26', tradeid='24', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=175.06, volume=100, datetime=datetime.datetime(2023, 10, 10, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='27', tradeid='25', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=175.06, volume=100, datetime=datetime.datetime(2023, 10, 10, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,-100,100,35012.0,17.506,2.0,57.99999999999841,59.99999999999943,117.99999999999784,98.49399999999784,1005319.9555,9.797758876899947e-05,1008108.8835,-2788.9279999999562,-0.2766494815834996
2023-10-11,176.76,175.35,[],0,100,100,0.0,0.0,0.0,0.0,140.99999999999966,140.99999999999966,140.99999999999966,1005460.9555,0.00014024402107644238,1008108.8835,-2647.9279999999562,-0.2626628971670952
2023-10-12,177.67,176.76,[],0,100,100,0.0,0.0,0.0,0.0,90.99999999999966,90.99999999999966,90.99999999999966,1005551.9555,9.050165671674185e-05,1008108.8835,-2556.9279999999562,-0.25363609445863555
2023-10-13,175.81,177.67,[],0,100,100,0.0,0.0,0.0,0.0,-185.99999999999852,-185.99999999999852,-185.99999999999852,1005365.9555,-0.00018499014754704292,1008108.8835,-2742.9279999999562,-0.2720864824121904
2023-10-16,175.68,175.81,[],0,100,100,0.0,0.0,0.0,0.0,-12.999999999999545,-12.999999999999545,-12.999999999999545,1005352.9555,-1.2930698497055526e-05,1008108.8835,-2755.9279999999562,-0.273376025656256
2023-10-17,174.11,175.68,[],0,100,100,0.0,0.0,0.0,0.0,-156.99999999999932,-156.99999999999932,-156.99999999999932,1005195.9555,-0.00015617625560870538,1008108.8835,-2912.9279999999562,-0.28894974021920283
2023-10-18,172.8,174.11,[],0,100,100,0.0,0.0,0.0,0.0,-131.00000000000023,-131.00000000000023,-131.00000000000023,1005064.9555,-0.0001303313410400073,1008108.8835,-3043.9279999999562,-0.30194436829401833
2023-10-19,172.42,172.8,[],0,100,100,0.0,0.0,0.0,0.0,-38.00000000000239,-38.00000000000239,-38.00000000000239,1005026.9555,-3.780921638113016e-05,1008108.8835,-3081.9279999999562,-0.3057138023920564
2023-10-20,169.84,172.42,[],0,100,100,0.0,0.0,0.0,0.0,-257.9999999999984,-257.9999999999984,-257.9999999999984,1004768.9555,-0.00025674248813533474,1008108.8835,-3339.9279999999562,-0.3313062760050518
2023-10-23,169.96,169.84,[],0,100,100,0.0,0.0,0.0,0.0,12.000000000000455,12.000000000000455,12.000000000000455,1004780.9555,1.1942972836277495e-05,1008108.8835,-3327.9279999999562,-0.33011592839514503
2023-10-24,170.4,169.96,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='28', tradeid='26', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=170.01, volume=100, datetime=datetime.datetime(2023, 10, 24, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='29', tradeid='27', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=170.01, volume=100, datetime=datetime.datetime(2023, 10, 24, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,100,-100,34002.0,17.001,2.0,-78.00000000000296,43.99999999999977,-34.00000000000318,-53.00100000000319,1004727.9545,-5.275020155280431e-05,1008108.8835,-3380.9290000000037,-0.33537339620120543
2023-10-25,168.06,170.4,[],0,-100,-100,0.0,0.0,0.0,0.0,234.00000000000034,234.00000000000034,234.00000000000034,1004961.9545,0.00023287174803380398,1008108.8835,-3146.9290000000037,-0.3121616178080236
2023-10-26,163.85,168.06,[],0,-100,-100,0.0,0.0,0.0,0.0,421.0000000000008,421.0000000000008,421.0000000000008,1005382.9545,0.0004188336083720805,1008108.8835,-2725.9290000000037,-0.270400255827128
2023-10-27,165.18,163.85,[],0,-100,-100,0.0,0.0,0.0,0.0,-133.00000000000125,-133.00000000000125,-133.00000000000125,1005249.9545,-0.0001322966510680292,1008108.8835,-2858.9290000000037,-0.2835932751702613
2023-10-30,167.25,165.18,[],0,-100,-100,0.0,0.0,0.0,0.0,-206.99999999999932,-206.99999999999932,-206.99999999999932,1005042.9545,-0.00020594013917563981,1008108.8835,-3065.9290000000037,-0.3041267714411529
2023-10-31,167.73,167.25,[],0,-100,-100,0.0,0.0,0.0,0.0,-47.99999999999898,-47.99999999999898,-47.99999999999898,1004994.9545,-4.776029327031917e-05,1008108.8835,-3113.9290000000037,-0.30888816188078
