code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
HK.01188,正道集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1995-04-06,39621073306788,False,N/A,False,,HK_MAINBOARD
HK.01189,大湾区聚变力量,10000,STOCK,N/A,,N/A,,N/A,N/A,1997-10-06,43546673415333,False,N/A,False,,HK_MAINBOARD
HK.01193,华润燃气,100,STOCK,N/A,,N/A,,N/A,N/A,1994-11-07,38976828212393,False,N/A,False,,HK_MAINBOARD
HK.01195,京维集团,4000,STOCK,N/A,,N/A,,N/A,N/A,2003-01-20,51844550231211,False,N/A,False,,HK_MAINBOARD
HK.01196,伟禄集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1997-01-20,42434276885676,False,N/A,False,,HK_MAINBOARD
HK.01198,皇朝家居,2000,STOCK,N/A,,N/A,,N/A,N/A,2002-05-15,50770808407214,False,N/A,False,,HK_MAINBOARD
HK.01199,中远海运港口,2000,STOCK,N/A,,N/A,,N/A,N/A,1994-12-19,39157216838831,False,N/A,False,,HK_MAINBOARD
HK.01200,美联集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1995-06-08,39891656246448,False,N/A,False,,HK_MAINBOARD
HK.01201,天臣控股,3000,STOCK,N/A,,N/A,,N/A,N/A,1998-06-23,44663364912305,False,N/A,False,,HK_MAINBOARD
HK.01202,四威科技,2000,STOCK,N/A,,N/A,,N/A,N/A,1994-12-13,39131447035058,False,N/A,False,,HK_MAINBOARD
HK.01203,广南(集团),2000,STOCK,N/A,,N/A,,N/A,N/A,1994-12-09,39114267165875,False,N/A,False,,HK_MAINBOARD
HK.01204,博维智慧,2000,STOCK,N/A,,N/A,,N/A,N/A,2022-07-15,82338818032820,False,N/A,False,,HK_MAINBOARD
HK.01205,中信资源,2000,STOCK,N/A,,N/A,,N/A,N/A,1997-09-08,43426414331061,False,N/A,False,,HK_MAINBOARD
HK.01206,同方泰德,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-10-27,65597035513014,False,N/A,False,,HK_MAINBOARD
HK.01208,五矿资源,4000,STOCK,N/A,,N/A,,N/A,N/A,1994-12-15,39140036969656,False,N/A,False,,HK_MAINBOARD
HK.01209,华润万象生活,200,STOCK,N/A,,N/A,,N/A,N/A,2020-12-09,79843442033849,False,N/A,False,,HK_MAINBOARD
HK.01211,比亚迪股份,100,STOCK,N/A,,N/A,,N/A,N/A,2002-07-31,51101520889019,False,N/A,False,,HK_MAINBOARD
HK.01213,万保刚集团,2000,STOCK,N/A,,N/A,,N/A,N/A,2001-05-07,49168785605821,False,N/A,False,,HK_MAINBOARD
HK.01215,开源控股,20000,STOCK,N/A,,N/A,,N/A,N/A,1997-01-17,42421391983807,False,N/A,False,,HK_MAINBOARD
HK.01216,中原银行,1000,STOCK,N/A,,N/A,,N/A,N/A,2017-07-19,74500502717632,False,N/A,False,,HK_MAINBOARD
HK.01217,中国创新投资,40000,STOCK,N/A,,N/A,,N/A,N/A,2002-08-28,51221779973313,False,N/A,False,,HK_MAINBOARD
HK.01218,永义国际,1000,STOCK,N/A,,N/A,,N/A,N/A,1995-01-30,39337605465282,False,N/A,False,,HK_MAINBOARD
HK.01220,志道国际,30000,STOCK,N/A,,N/A,,N/A,N/A,1997-09-23,43490838840516,False,N/A,False,,HK_MAINBOARD
HK.01221,SINO HOTELS,2000,STOCK,N/A,,N/A,,N/A,N/A,1995-03-08,39496519255237,False,N/A,False,,HK_MAINBOARD
HK.01222,WANG ON GROUP,20000,STOCK,N/A,,N/A,,N/A,N/A,1995-02-28,39462159516870,False,N/A,False,,HK_MAINBOARD
HK.01223,新沣集团,10000,STOCK,N/A,,N/A,,N/A,N/A,1995-03-01,39466454484167,False,N/A,False,,HK_MAINBOARD
HK.01224,中渝置地,1000,STOCK,N/A,,N/A,,N/A,N/A,1999-04-30,45999099741384,False,N/A,False,,HK_MAINBOARD
HK.01225,隆成金融,10000,STOCK,N/A,,N/A,,N/A,N/A,1998-12-18,45427869091017,False,N/A,False,,HK_MAINBOARD
HK.01226,中国投融资,10000,STOCK,N/A,,N/A,,N/A,N/A,2002-09-19,51316269253834,False,N/A,False,,HK_MAINBOARD
HK.01228,北海康成-B,1000,STOCK,N/A,,N/A,,N/A,N/A,2021-12-10,81432579933388,False,N/A,False,,HK_MAINBOARD
HK.01229,南南资源,2000,STOCK,N/A,,N/A,,N/A,N/A,1995-04-13,39651138077901,False,N/A,False,,HK_MAINBOARD
HK.01231,新矿资源,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-07-04,65103114273999,False,N/A,False,,HK_MAINBOARD
HK.01232,金轮天地控股,8000,STOCK,N/A,,N/A,,N/A,N/A,2013-01-16,67516885894352,False,N/A,False,,HK_MAINBOARD
HK.01233,时代中国控股,1000,STOCK,N/A,,N/A,,N/A,N/A,2013-12-11,68929930134737,False,N/A,False,,HK_MAINBOARD
HK.01234,中国利郎,1000,STOCK,N/A,,N/A,,N/A,N/A,2009-09-25,62324270433490,False,N/A,False,,HK_MAINBOARD
HK.01235,专业旅运,5000,STOCK,N/A,,N/A,,N/A,N/A,2011-09-29,65476776428755,False,N/A,False,,HK_MAINBOARD
HK.01237,中科生物,10000,STOCK,N/A,,N/A,,N/A,N/A,2012-07-06,66683662238933,False,N/A,False,,HK_MAINBOARD
HK.01238,宝龙地产,1000,STOCK,N/A,,N/A,,N/A,N/A,2009-10-14,62405874812118,False,N/A,False,,HK_MAINBOARD
HK.01239,TEAMWAY INTL GP,20000,STOCK,N/A,,N/A,,N/A,N/A,2011-11-18,65691524793559,False,N/A,False,,HK_MAINBOARD
HK.01240,青建国际,2500,STOCK,N/A,,N/A,,N/A,N/A,2012-10-18,67130338837720,False,N/A,False,,HK_MAINBOARD
HK.01241,双桦控股,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-06-30,65085934404825,False,N/A,False,,HK_MAINBOARD
HK.01243,宏安地产,4000,STOCK,N/A,,N/A,,N/A,N/A,2016-04-12,72593537238235,False,N/A,False,,HK_MAINBOARD
HK.01244,思路迪医药股份,500,STOCK,N/A,,N/A,,N/A,N/A,2022-12-15,82995948029148,False,N/A,False,,HK_MAINBOARD
HK.01245,NIRAKU,2000,STOCK,N/A,,N/A,,N/A,N/A,2015-04-08,71004399338717,False,N/A,False,,HK_MAINBOARD
HK.01246,保集健康,10000,STOCK,N/A,,N/A,,N/A,N/A,2013-10-16,68689411966174,False,N/A,False,,HK_MAINBOARD
HK.01247,米格国际控股,6000,STOCK,N/A,,N/A,,N/A,N/A,2014-01-15,69080253990111,False,N/A,False,,HK_MAINBOARD
HK.01250,山高新能源,1000,STOCK,N/A,,N/A,,N/A,N/A,2013-07-05,68247030334690,False,N/A,False,,HK_MAINBOARD
HK.01251,华油能源,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-12-23,65841848648931,False,N/A,False,,HK_MAINBOARD
HK.01252,中国天瑞水泥,1000,STOCK,N/A,,N/A,,N/A,N/A,2011-12-23,65841848648932,False,N/A,False,,HK_MAINBOARD
HK.01253,绿博生态,12000,STOCK,N/A,,N/A,,N/A,N/A,2014-07-21,69883412874469,False,N/A,False,,HK_MAINBOARD
HK.01255,TATA健康,2000,STOCK,N/A,,N/A,,N/A,N/A,2013-07-11,68272800138471,False,N/A,False,,HK_MAINBOARD
HK.01257,中国光大绿色环保,1000,STOCK,N/A,,N/A,,N/A,N/A,2017-05-08,74199855006953,False,N/A,False,,HK_MAINBOARD
HK.01258,中国有色矿业,1000,STOCK,N/A,,N/A,,N/A,N/A,2012-06-29,66653597467882,False,N/A,False,,HK_MAINBOARD
HK.01259,未来发展控股,1000,STOCK,N/A,,N/A,,N/A,N/A,2011-07-15,65150358914283,False,N/A,False,,HK_MAINBOARD
HK.01260,皓天财经集团,2000,STOCK,N/A,,N/A,,N/A,N/A,2012-03-30,66262755443948,False,N/A,False,,HK_MAINBOARD
HK.01262,蜡笔小新食品,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-12-09,65781719106798,False,N/A,False,,HK_MAINBOARD
HK.01263,栢能集团,2000,STOCK,N/A,,N/A,,N/A,N/A,2012-01-12,65927747994863,False,N/A,False,,HK_MAINBOARD
HK.01265,天津津燃公用,10000,STOCK,N/A,,N/A,,N/A,N/A,2004-01-09,53364968654065,False,N/A,False,,HK_MAINBOARD
HK.01268,美东汽车,2000,STOCK,N/A,,N/A,,N/A,N/A,2013-12-05,68904160330996,False,N/A,False,,HK_MAINBOARD
HK.01269,首控集团,10000,STOCK,N/A,,N/A,,N/A,N/A,2011-11-23,65712999630069,False,N/A,False,,HK_MAINBOARD
HK.01270,朗廷-SS,2000,STOCK,N/A,,N/A,,N/A,N/A,2013-05-30,68092411512054,False,N/A,False,,HK_MAINBOARD
HK.01271,佳明集团控股,1000,STOCK,N/A,,N/A,,N/A,N/A,2013-08-09,68397354190071,False,N/A,False,,HK_MAINBOARD
HK.01272,大唐环境,1000,STOCK,N/A,,N/A,,N/A,N/A,2016-11-15,1272,False,N/A,False,,HK_MAINBOARD
HK.01273,香港信贷,4000,STOCK,N/A,,N/A,,N/A,N/A,2013-10-02,68629282424057,False,N/A,False,,HK_MAINBOARD
HK.01274,知行科技,100,STOCK,N/A,,N/A,,N/A,N/A,2023-12-20,84619445667066,False,N/A,False,,HK_MAINBOARD
HK.01276,恒瑞医药,200,STOCK,N/A,,N/A,,N/A,N/A,2025-05-23,86852828660988,False,N/A,False,,HK_MAINBOARD
HK.01277,力量发展,2000,STOCK,N/A,,N/A,,N/A,N/A,2012-03-23,66232690672893,False,N/A,False,,HK_MAINBOARD
HK.01278,中国新城镇,2500,STOCK,N/A,,N/A,,N/A,N/A,2010-10-22,64007897613566,False,N/A,False,,HK_MAINBOARD
HK.01280,奇点国峰,2000,STOCK,N/A,,N/A,,N/A,N/A,2010-03-25,63101659514112,False,N/A,False,,HK_MAINBOARD
HK.01281,鑫达投资控股,1000,STOCK,N/A,,N/A,,N/A,N/A,2012-01-12,65927747994881,False,N/A,False,,HK_MAINBOARD
HK.01282,中泽丰,8000,STOCK,N/A,,N/A,,N/A,N/A,2010-12-15,64239825847554,False,N/A,False,,HK_MAINBOARD
HK.01283,高陞集团控股,5000,STOCK,N/A,,N/A,,N/A,N/A,2019-10-18,78018080933123,False,N/A,False,,HK_MAINBOARD
HK.01284,新传企划,5000,STOCK,N/A,,N/A,,N/A,N/A,2023-07-17,83910776063236,False,N/A,False,,HK_MAINBOARD
HK.01285,嘉士利集团,1000,STOCK,N/A,,N/A,,N/A,N/A,2014-09-25,70166880716037,False,N/A,False,,HK_MAINBOARD
HK.01286,鹰普精密,1000,STOCK,N/A,,N/A,,N/A,N/A,2019-06-28,77584289236230,False,N/A,False,,HK_MAINBOARD
HK.01288,农业银行,1000,STOCK,N/A,,N/A,,N/A,N/A,2010-07-16,63586990818568,False,N/A,False,,HK_MAINBOARD
HK.01289,盛力达科技,500,STOCK,N/A,,N/A,,N/A,N/A,2014-11-11,70368744178953,False,N/A,False,,HK_MAINBOARD
HK.01290,中国汇融,2000,STOCK,N/A,,N/A,,N/A,N/A,2013-10-28,68740951573770,False,N/A,False,,HK_MAINBOARD
HK.01292,长安民生物流,1000,STOCK,N/A,,N/A,,N/A,N/A,2006-02-23,56697863275788,False,N/A,False,,HK_MAINBOARD
HK.01293,广汇宝信,500,STOCK,N/A,,N/A,,N/A,N/A,2011-12-14,65803193943309,False,N/A,False,,HK_MAINBOARD
HK.01298,云能国际,1000,STOCK,N/A,,N/A,,N/A,N/A,2011-12-21,65833258714386,False,N/A,False,,HK_MAINBOARD
HK.01299,友邦保险,200,STOCK,N/A,,N/A,,N/A,N/A,2010-10-29,64037962384659,False,N/A,False,,HK_MAINBOARD
HK.01300,俊知集团,2000,STOCK,N/A,,N/A,,N/A,N/A,2012-03-19,66215510803732,False,N/A,False,,HK_MAINBOARD
HK.01301,德基科技控股,2000,STOCK,N/A,,N/A,,N/A,N/A,2015-05-27,71214852736277,False,N/A,False,,HK_MAINBOARD
HK.01302,先健科技,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-11-10,65657165055254,False,N/A,False,,HK_MAINBOARD
HK.01303,汇力资源,2000,STOCK,N/A,,N/A,,N/A,N/A,2012-01-12,65927747994903,False,N/A,False,,HK_MAINBOARD
HK.01304,FORTIOR,100,STOCK,N/A,,N/A,,N/A,N/A,2025-07-09,87050397156632,False,N/A,False,,HK_MAINBOARD
HK.01305,伟志控股,1000,STOCK,N/A,,N/A,,N/A,N/A,2014-11-18,70398808950041,False,N/A,False,,HK_MAINBOARD
HK.01308,海丰国际,1000,STOCK,N/A,,N/A,,N/A,N/A,2010-10-06,63939178136860,False,N/A,False,,HK_MAINBOARD
HK.01310,香港宽频,500,STOCK,N/A,,N/A,,N/A,N/A,2015-03-12,70888435221790,False,N/A,False,,HK_MAINBOARD
HK.01312,华控康泰,6000,STOCK,N/A,,N/A,,N/A,N/A,2012-01-18,65953517798688,False,N/A,False,,HK_MAINBOARD
HK.01313,华润建材科技,2000,STOCK,N/A,,N/A,,N/A,N/A,2009-10-06,62371515073825,False,N/A,False,,HK_MAINBOARD
HK.01314,翠华控股,2000,STOCK,N/A,,N/A,,N/A,N/A,2012-11-26,67297842562338,False,N/A,False,,HK_MAINBOARD
HK.01315,绿色经济,10000,STOCK,N/A,,N/A,,N/A,N/A,2012-01-18,65953517798691,False,N/A,False,,HK_MAINBOARD
HK.01316,耐世特,1000,STOCK,N/A,,N/A,,N/A,N/A,2013-10-07,68650757260580,False,N/A,False,,HK_MAINBOARD
HK.01317,枫叶教育,2000,STOCK,N/A,,N/A,,N/A,N/A,2014-11-28,70441758623013,False,N/A,False,,HK_MAINBOARD
HK.01318,毛戈平,100,STOCK,N/A,,N/A,,N/A,N/A,2024-12-10,86148454024486,False,N/A,False,,HK_MAINBOARD
HK.01319,霭华押业信贷,8000,STOCK,N/A,,N/A,,N/A,N/A,2013-03-12,67753109095719,False,N/A,False,,HK_MAINBOARD
HK.01321,中国新城市,2000,STOCK,N/A,,N/A,,N/A,N/A,2014-07-10,69836168234281,False,N/A,False,,HK_MAINBOARD
HK.01323,华盛国际控股,20000,STOCK,N/A,,N/A,,N/A,N/A,2011-01-13,64364379899179,False,N/A,False,,HK_MAINBOARD
HK.01326,传递娱乐,8000,STOCK,N/A,,N/A,,N/A,N/A,2012-10-31,67186173412654,False,N/A,False,,HK_MAINBOARD
